t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1556558187,64,2.000000,0.392616,0.000000,0.545072,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.252643,0.391185,0.165998,0.064580,calls/second,milliseconds
1556558190,66,2.000000,0.438423,0.000000,0.548107,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.257487,0.391890,0.169865,0.066438,calls/second,milliseconds
1556558193,67,2.000000,0.421788,0.000000,0.544095,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.258373,0.391890,0.169865,0.066438,calls/second,milliseconds
1556558196,68,2.000000,0.405687,0.000000,0.539694,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.259230,0.392538,0.173669,0.068286,calls/second,milliseconds
1556558199,69,2.000000,0.390332,0.000000,0.535013,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.260064,0.393135,0.177410,0.070124,calls/second,milliseconds
1556558202,71,2.000000,0.397605,0.000000,0.533118,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.264610,0.393135,0.177410,0.070124,calls/second,milliseconds
1556558205,72,2.000000,0.382706,0.000000,0.528457,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.265372,0.409675,0.184395,0.073060,calls/second,milliseconds
1556558208,73,2.000000,0.368477,0.000000,0.523571,0.000000,1.000000,1.000000,2.000000,2.000000,2.000000,0.266114,0.409675,0.184395,0.073060,calls/second,milliseconds
1556558211,75,2.000000,0.378652,0.000000,0.523133,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.270449,0.408901,0.187959,0.074871,calls/second,milliseconds
1556558214,76,2.000000,0.364694,0.000000,0.518334,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.271121,0.408190,0.191463,0.076672,calls/second,milliseconds
1556558217,77,2.000000,0.351154,0.000000,0.513274,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.271780,0.408190,0.191463,0.076672,calls/second,milliseconds
1556558220,78,2.000000,0.375062,0.000000,0.518347,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.272424,0.407535,0.194910,0.078463,calls/second,milliseconds
1556558223,80,2.000000,0.383258,0.000000,0.517873,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.276509,0.407535,0.194910,0.078463,calls/second,milliseconds
1556558226,81,2.000000,0.405823,0.000000,0.521332,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.277097,0.406932,0.198300,0.080245,calls/second,milliseconds
1556558229,82,2.000000,0.391079,0.000000,0.517377,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.277667,0.406378,0.201634,0.082016,calls/second,milliseconds
1556558232,84,2.000000,0.363063,0.000000,0.508601,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.281575,0.406378,0.201634,0.082016,calls/second,milliseconds
1556558235,85,2.000000,0.349952,0.000000,0.503907,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.282095,0.405868,0.204912,0.083778,calls/second,milliseconds
1556558238,86,2.000000,0.373613,0.000000,0.509412,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.282599,0.405868,0.204912,0.083778,calls/second,milliseconds
1556558241,87,2.000000,0.396257,0.000000,0.513605,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.283094,0.405399,0.208137,0.085530,calls/second,milliseconds
1556558244,89,2.000000,0.368194,0.000000,0.505412,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.286798,0.420958,0.214614,0.088380,calls/second,milliseconds
1556558247,90,2.000000,0.390918,0.000000,0.509995,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.287249,0.420958,0.214614,0.088380,calls/second,milliseconds
1556558250,91,2.000000,0.376948,0.000000,0.506029,0.000000,1.000000,1.000000,1.000000,2.000000,2.000000,0.287687,0.419283,0.217678,0.090106,calls/second,milliseconds
1556558253,93,2.000000,0.386158,0.000000,0.506706,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.291246,0.419283,0.217678,0.090106,calls/second,milliseconds
1556558256,94,2.000000,0.407999,0.000000,0.510437,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.291634,0.417741,0.220692,0.091823,calls/second,milliseconds
1556558259,95,2.000000,0.429242,0.000000,0.513148,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.292024,0.416322,0.223655,0.093531,calls/second,milliseconds
1556558262,96,2.000000,0.413937,0.000000,0.510164,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.292401,0.416322,0.223655,0.093531,calls/second,milliseconds
1556558265,98,2.000000,0.454915,0.000000,0.514204,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.295788,0.415017,0.226570,0.095229,calls/second,milliseconds
1556558268,99,2.000000,0.474281,0.000000,0.514969,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.296126,0.415017,0.226570,0.095229,calls/second,milliseconds
1556558271,100,2.000000,0.457531,0.000000,0.513314,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.296455,0.413817,0.229437,0.096917,calls/second,milliseconds
1556558274,102,2.000000,0.461018,0.000000,0.512550,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.299718,0.412712,0.232256,0.098596,calls/second,milliseconds
1556558277,103,2.000000,0.444787,0.000000,0.510566,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.300010,0.412712,0.232256,0.098596,calls/second,milliseconds
1556558280,104,2.000000,0.464507,0.000000,0.511839,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.300303,0.427687,0.238334,0.101374,calls/second,milliseconds
1556558283,105,2.000000,0.483414,0.000000,0.512344,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.300587,0.427687,0.238334,0.101374,calls/second,milliseconds
1556558286,107,2.000000,0.485342,0.000000,0.511539,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.303705,0.425473,0.241006,0.103028,calls/second,milliseconds
1556558289,108,2.000000,0.503465,0.000000,0.511328,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.303954,0.423436,0.243634,0.104674,calls/second,milliseconds
1556558292,109,2.000000,0.520851,0.000000,0.510521,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.304197,0.423436,0.243634,0.104674,calls/second,milliseconds
1556558295,111,2.000000,0.554019,0.000000,0.507329,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.307207,0.421562,0.246219,0.106310,calls/second,milliseconds
1556558298,112,2.000000,0.534664,0.000000,0.508664,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.307423,0.421562,0.246219,0.106310,calls/second,milliseconds
1556558301,113,2.000000,0.515815,0.000000,0.509255,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.307633,0.419838,0.248760,0.107937,calls/second,milliseconds
1556558304,114,2.000000,0.532788,0.000000,0.508113,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.307842,0.418252,0.251260,0.109555,calls/second,milliseconds
1556558307,116,2.000000,0.531305,0.000000,0.507580,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.310727,0.418252,0.251260,0.109555,calls/second,milliseconds
1556558310,117,2.000000,0.547704,0.000000,0.506004,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.310906,0.416793,0.253719,0.111164,calls/second,milliseconds
1556558313,118,2.000000,0.528644,0.000000,0.507155,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.311084,0.416793,0.253719,0.111164,calls/second,milliseconds
1556558316,120,2.000000,0.526157,0.000000,0.506744,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.313875,0.431441,0.259442,0.113872,calls/second,milliseconds
1556558319,121,2.000000,0.507878,0.000000,0.507102,1.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.314026,0.428927,0.261765,0.115458,calls/second,milliseconds
1556558322,122,2.000000,0.490069,0.000000,0.506816,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.314172,0.428927,0.261765,0.115458,calls/second,milliseconds
1556558325,123,2.000000,0.472978,0.000000,0.505953,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.314323,0.426614,0.264050,0.117034,calls/second,milliseconds
1556558328,125,2.000000,0.475599,0.000000,0.505631,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.317000,0.426614,0.264050,0.117034,calls/second,milliseconds
1556558331,126,2.000000,0.459037,0.000000,0.504344,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.317126,0.424486,0.266297,0.118602,calls/second,milliseconds
1556558334,127,2.000000,0.443135,0.000000,0.502591,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.317248,0.422529,0.268507,0.120161,calls/second,milliseconds
1556558337,129,2.000000,0.412765,0.000000,0.497817,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.319847,0.422529,0.268507,0.120161,calls/second,milliseconds
1556558340,130,2.000000,0.398483,0.000000,0.494912,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.319946,0.420727,0.270680,0.121711,calls/second,milliseconds
1556558343,131,2.000000,0.384564,0.000000,0.491666,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.320044,0.420727,0.270680,0.121711,calls/second,milliseconds
1556558346,132,2.000000,0.371204,0.000000,0.488156,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.320137,0.419070,0.272818,0.123253,calls/second,milliseconds
1556558349,134,2.000000,0.345869,0.000000,0.480411,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.322646,0.433536,0.278226,0.125894,calls/second,milliseconds
1556558352,135,2.000000,0.333865,0.000000,0.476227,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.322721,0.433536,0.278226,0.125894,calls/second,milliseconds
1556558355,136,2.000000,0.322337,0.000000,0.471887,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.322796,0.430855,0.280239,0.127413,calls/second,milliseconds
1556558358,138,2.000000,0.300313,0.000000,0.462685,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.325226,0.430855,0.280239,0.127413,calls/second,milliseconds
1556558361,139,2.000000,0.289953,0.000000,0.457925,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.325285,0.428388,0.282218,0.128923,calls/second,milliseconds
1556558364,140,2.000000,0.279854,0.000000,0.453010,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.325332,0.426118,0.284165,0.130425,calls/second,milliseconds
1556558367,141,2.000000,0.270158,0.000000,0.448026,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.325396,0.426118,0.284165,0.130425,calls/second,milliseconds
1556558370,143,2.000000,0.251767,0.000000,0.437828,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.327742,0.424030,0.286079,0.131918,calls/second,milliseconds
1556558373,144,2.000000,0.243051,0.000000,0.432638,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,0.327780,0.424030,0.286079,0.131918,calls/second,milliseconds
1556558376,145,2.000000,0.269125,0.000000,0.446973,0.000000,1.000000,1.000000,1.000000,1.000000,2.000000,0.327820,0.422109,0.287962,0.133403,calls/second,milliseconds
1556558379,147,2.000000,0.250778,0.000000,0.436767,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,0.330101,0.420341,0.289814,0.134880,calls/second,milliseconds
1556558382,148,2.000000,0.242145,0.000000,0.431612,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,0.330120,0.420341,0.289814,0.134880,calls/second,milliseconds
1556558385,149,2.000000,0.233728,0.000000,0.426358,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,0.330144,0.434706,0.294941,0.137457,calls/second,milliseconds
1556558388,150,2.000000,0.225647,0.000000,0.421093,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,0.330164,0.434706,0.294941,0.137457,calls/second,milliseconds
1556558391,152,2.000000,0.243524,0.000000,0.432011,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,0.332375,0.431931,0.296678,0.138912,calls/second,milliseconds
1556558394,153,2.000000,0.235108,0.000000,0.426805,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,0.332376,0.429378,0.298385,0.140358,calls/second,milliseconds
1556558397,154,2.000000,0.227023,0.000000,0.421585,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,0.332387,0.429378,0.298385,0.140358,calls/second,milliseconds
1556558400,156,2.000000,0.211571,0.000000,0.410981,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,0.334534,0.427029,0.300065,0.141797,calls/second,milliseconds
1556558403,157,2.000000,0.204299,0.000000,0.405692,0.000000,0.000000,1.000000,1.000000,1.000000,2.000000,0.334525,0.427029,0.300065,0.141797,calls/second,milliseconds
1556558406,158,2.000000,0.197209,0.000000,0.400340,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.334519,0.424868,0.301717,0.143227,calls/second,milliseconds
1556558409,159,2.000000,0.224927,0.000000,0.419788,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.334514,0.422879,0.303341,0.144650,calls/second,milliseconds
1556558412,161,2.000000,0.244356,0.000000,0.431746,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.336594,0.422879,0.303341,0.144650,calls/second,milliseconds
1556558415,162,2.000000,0.235922,0.000000,0.426569,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.336575,0.421050,0.304939,0.146064,calls/second,milliseconds
1556558418,163,2.000000,0.227820,0.000000,0.421376,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.336554,0.421050,0.304939,0.146064,calls/second,milliseconds
1556558421,165,2.000000,0.212332,0.000000,0.410823,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.338585,0.435358,0.309816,0.148579,calls/second,milliseconds
1556558424,166,2.000000,0.239374,0.000000,0.428427,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.338554,0.432531,0.311306,0.149972,calls/second,milliseconds
1556558427,167,2.000000,0.231076,0.000000,0.423207,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.338523,0.432531,0.311306,0.149972,calls/second,milliseconds
1556558430,168,2.000000,0.223106,0.000000,0.417977,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.338491,0.429930,0.312772,0.151357,calls/second,milliseconds
1556558433,170,2.000000,0.207981,0.000000,0.407440,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.340462,0.429930,0.312772,0.151357,calls/second,milliseconds
1556558436,171,2.000000,0.200810,0.000000,0.402149,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.340419,0.427537,0.314214,0.152735,calls/second,milliseconds
1556558439,172,2.000000,0.193920,0.000000,0.396876,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.340378,0.425335,0.315632,0.154105,calls/second,milliseconds
1556558442,174,2.000000,0.180748,0.000000,0.386254,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.342303,0.425335,0.315632,0.154105,calls/second,milliseconds
1556558445,175,2.000000,0.174548,0.000000,0.380995,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.342251,0.423309,0.317026,0.155467,calls/second,milliseconds
1556558448,176,2.000000,0.168501,0.000000,0.375696,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.342198,0.423309,0.317026,0.155467,calls/second,milliseconds
1556558451,177,2.000000,0.197158,0.000000,0.399111,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.342147,0.421446,0.318398,0.156822,calls/second,milliseconds
1556558454,179,2.000000,0.251543,0.000000,0.434976,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.344019,0.435722,0.323052,0.159277,calls/second,milliseconds
1556558457,180,2.000000,0.242875,0.000000,0.429872,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.343957,0.435722,0.323052,0.159277,calls/second,milliseconds
1556558460,181,2.000000,0.234547,0.000000,0.424743,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.343896,0.432866,0.324324,0.160611,calls/second,milliseconds
1556558463,183,2.000000,0.253076,0.000000,0.435708,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.345727,0.432866,0.324324,0.160611,calls/second,milliseconds
1556558466,184,2.000000,0.244400,0.000000,0.430643,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.345659,0.430238,0.325575,0.161937,calls/second,milliseconds
1556558469,185,2.000000,0.235939,0.000000,0.425476,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.345588,0.427820,0.326805,0.163256,calls/second,milliseconds
1556558472,186,2.000000,0.227812,0.000000,0.420292,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.345520,0.427820,0.326805,0.163256,calls/second,milliseconds
1556558475,188,2.000000,0.212388,0.000000,0.409831,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.347299,0.425596,0.328015,0.164567,calls/second,milliseconds
1556558478,189,2.000000,0.205074,0.000000,0.404570,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.347222,0.425596,0.328015,0.164567,calls/second,milliseconds
1556558481,190,2.000000,0.198045,0.000000,0.399324,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.347146,0.423550,0.329205,0.165872,calls/second,milliseconds
1556558484,192,2.000000,0.219043,0.000000,0.414314,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.348887,0.421667,0.330375,0.167169,calls/second,milliseconds
1556558487,193,2.000000,0.211536,0.000000,0.409098,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.348804,0.421667,0.330375,0.167169,calls/second,milliseconds
1556558490,194,2.000000,0.204216,0.000000,0.403813,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.348718,0.435925,0.334831,0.169567,calls/second,milliseconds
1556558493,195,2.000000,0.197185,0.000000,0.398543,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.348638,0.435925,0.334831,0.169567,calls/second,milliseconds
1556558496,197,2.000000,0.218440,0.000000,0.413790,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.350335,0.433053,0.335909,0.170843,calls/second,milliseconds
1556558499,198,2.000000,0.245347,0.000000,0.430851,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.350244,0.430410,0.336968,0.172113,calls/second,milliseconds
1556558502,199,2.000000,0.236941,0.000000,0.425751,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.350154,0.430410,0.336968,0.172113,calls/second,milliseconds
1556558505,201,2.000000,0.220870,0.000000,0.415354,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.351815,0.427979,0.338010,0.173376,calls/second,milliseconds
1556558508,202,2.000000,0.213193,0.000000,0.410072,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.351721,0.427979,0.338010,0.173376,calls/second,milliseconds
